url,title,price,height,width,media
https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,P10 by Olly Fathers,240.0,30.0,30.0,Acrylic paint on sprayed board
https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,Portal 5 by Jane Ward,320.0,30,30,Digital print under acrylic with subframe
https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,Balancing Acts I by Elise Wootten,400.0,40.7,50.8,Inkjet Print (Hahnemuhle Ultra-Smooth)
https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,Portal 6 by Jane Ward,320.0,30,30,Digital print under acrylic with subframe
https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,Balancing Acts II by Elise Wootten,400.0,40.7,50.8,Inkjet Print (Hahnemuhle Ultra-Smooth)
https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,Portal 8 by Jane Ward,490.0,60,60,Digital print under acrylic with subframe
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,You Took My Breath Away by Dominic Bradnum,640.0,40.0,50.0,"oil on canvas with charcoal, watercolour and pencil"
https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,Portal 7 by Jane Ward,490.0,60,60,Digital print under acrylic with subframe
https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,Portal 9 by Jane Ward,490.0,60,60,Digital print under acrylic with subframe
https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,Balancing Acts III by Elise Wootten,400.0,40.7,50.8,Inkjet Print (Hahnemuhle Ultra-Smooth)
https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,Balancing Acts IV by Elise Wootten,400.0,40.7,50.8,Inkjet Print (Hahnemuhle Ultra-Smooth)
https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,As The Tide Turned by Dominic Bradnum,1400.0,100.0,80.0,"Oil with charcoal, watercolour and sand on canvas"
https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,(GCS) High Rise - Jane Ward,990.0,80.0,60.0,Digital print with dissolved ink
https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,Balancing Acts V by Elise Wootten,340.0,40.7,50.8,Inkjet Print (Hahnemuhle Ultra-Smooth)
https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,Somewhat Confusing II by Elise Wootten,640.0,75.0,89.0,"Aluminium, Inkjet Vinyl Print"
https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,Boondocks by Suzanne Moxhay,690.0,92.0,45.0,Archival Digital Print 
https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,Feralis by Suzanne Moxhay,690.0,68.0,55.0,Archival Digital print
https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,Somewhat Confusing I by Elise Wootten,640.0,74.0,88.0,"Aluminium, Inkjet Vinyl Print"
https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,Somewhat Confusing III by Elise Wootten,640.0,75.0,88.0,"Aluminium, Inkjet Vinyl Print"
https://www.bearspace.co.uk/product-page/bayou,Bayou,690.0,100.0,44.0,Archival digital print
https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,Athne by Suzanne Moxhay,690.0,100.0,50.0,Archival Digital Print 
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",540.0,50.0,60.0,Archival Inkjet Print
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",540.0,50.0,60.0,Archival inkjet print
